Words	Exact	CMS	Abs_Err	Rel_Err	Rel_Err_Mean
bougeoir	1	14	13	13.0
bougies	1	12	11	11.0
bouillaient	1	11	10	10.0
bouillante	1	7	6	6.0
bouillie	2	12	10	5.0
bouillon	2	11	9	4.5
boulet	1	18	17	17.0
boulevard	1	17	16	16.0
boulevers	5	18	13	2.6
bouleversait	1	12	11	11.0
bouleverse	4	15	11	2.75
bouleversement	1	9	8	8.0
bouleversent	1	10	9	9.0
bouleverser	1	6	5	5.0
boulogne	13	33	20	1.5384615384615385
bound	2	15	13	6.5
bourbier	1	17	16	16.0
bourdonnant	1	13	12	12.0
bourdonnement	1	15	14	14.0
bourdonnements	1	7	6	6.0
bourg	2	21	19	9.5
bourgeois	24	36	12	0.5
bourgeoisie	1	2	1	1.0
bourgogne	5	26	21	4.2
bourreau	31	41	10	0.3225806451612903
bourreaux	4	24	20	5.0
bourrelet	1	12	11	11.0
bourse	28	31	3	0.10714285714285714
bourses	1	2	1	1.0
bout	96	110	14	0.14583333333333334
bouteille	21	26	5	0.23809523809523808
bouteilles	33	52	19	0.5757575757575758
boutique	2	17	15	7.5
bouton	3	10	7	2.3333333333333335
boutondor	1	17	16	16.0
boutonns	1	9	8	8.0
bouts	2	8	6	3.0
boyau	1	10	9	9.0
braconnier	2	20	18	9.0
branche	2	12	10	5.0
branches	5	28	23	4.6
branl	5	23	18	3.6
bras	106	114	8	0.07547169811320754
brasier	1	6	5	5.0
braslecorps	1	15	14	14.0
brave	50	75	25	0.5
bravement	3	19	16	5.333333333333333
braves	15	28	13	0.8666666666666667
bravo	10	20	10	1.0
bravoure	6	16	10	1.6666666666666667
brche	7	27	20	2.857142857142857
breach	2	6	4	2.0
bref	5	15	10	2.0
brest	2	15	13	6.5
bret	3	15	12	4.0
bretagne	2	8	6	3.0
breuil	2	12	10	5.0
brevet	12	25	13	1.0833333333333333
bribes	3	20	17	5.666666666666667
brick	1	8	7	7.0
bride	11	26	15	1.3636363636363635
brides	1	17	16	16.0
brigadier	5	17	12	2.4
brigand	1	7	6	6.0
brigands	1	20	19	19.0
brik	1	7	6	6.0
brilla	4	10	6	1.5
brillaient	2	5	3	1.5
brillait	10	18	8	0.8
brillant	5	9	4	0.8
brillante	2	11	9	4.5
brillantes	1	18	17	17.0
brillants	2	24	22	11.0
brille	4	18	14	3.5
briller	5	20	15	3.0
brillrent	1	17	16	16.0
brimborion	1	29	28	28.0
brin	1	25	24	24.0
brioche	1	13	12	12.0
bris	7	15	8	1.1428571428571428
brisa	4	17	13	3.25
brisait	2	7	5	2.5
brise	9	20	11	1.2222222222222223
brisemont	6	34	28	4.666666666666667
briser	4	11	7	1.75
briserait	2	10	8	4.0
briserons	1	8	7	7.0
briss	1	4	3	3.0
britannique	2	20	18	9.0
brivet	1	7	6	6.0
brl	2	12	10	5.0
brlaient	1	21	20	20.0
brlait	7	22	15	2.142857142857143
brlant	5	11	6	1.2
brlantes	1	13	12	12.0
brle	6	20	14	2.3333333333333335
brler	5	9	4	0.8
brlera	1	6	5	5.0
brlerait	2	20	18	9.0
brlons	2	13	11	5.5
broche	5	20	15	3.0
brod	9	9	0	0.0
brode	1	15	14	14.0
broder	1	13	12	12.0
broderie	1	10	9	9.0
broderies	6	14	8	1.3333333333333333
bronze	2	8	6	3.0
brosse	2	8	6	3.0
brosser	2	7	5	2.5
brossez	1	17	16	16.0
brouhaha	1	17	16	16.0
brouill	2	9	7	3.5
brouillard	4	20	16	4.0
brouiller	1	2	1	1.0
broya	1	18	17	17.0
brrrrou	1	11	10	10.0
bruit	91	99	8	0.08791208791208792
bruits	1	13	12	12.0
brume	2	13	11	5.5
brun	4	23	19	4.75
brune	1	14	13	13.0
brusquement	3	19	16	5.333333333333333
brutalit	2	11	9	4.5
brutus	1	7	6	6.0
bruxelles	3	22	19	6.333333333333333
bruyamment	1	17	16	16.0
bruyant	1	10	9	9.0
bruyante	1	6	5	5.0
bruyantes	1	10	9	9.0
bruyre	1	13	12	12.0
brve	3	19	16	5.333333333333333
brves	1	10	9	9.0
brviaire	2	10	8	4.0
bte	3	8	5	1.6666666666666667
btes	4	19	15	3.75
bthulie	1	8	7	7.0
bthune	20	57	37	1.85
bti	2	13	11	5.5
btiment	20	36	16	0.8
btiments	4	13	9	2.25
btir	1	12	11	11.0
btirait	1	16	15	15.0
btises	1	9	8	8.0
btisse	1	9	8	8.0
btit	1	9	8	8.0
bton	2	11	9	4.5
btonnt	1	11	10	10.0
btons	4	20	16	4.0
bu	11	15	4	0.36363636363636365
buckingham	178	191	13	0.07303370786516854
bucphale	1	5	4	4.0
bue	1	11	10	10.0
buffet	2	6	4	2.0
buffle	2	6	4	2.0
bull	4	11	7	1.75
bullition	1	4	3	3.0
bureau	5	14	9	1.8
bureaux	1	6	5	5.0
bus	3	12	9	3.0
busc	1	10	9	9.0
busigny	9	11	2	0.2222222222222222
business	1	5	4	4.0
but	33	42	9	0.2727272727272727
bute	1	9	8	8.0
butor	1	5	4	4.0
butte	1	9	8	8.0
buttler	1	19	18	18.0
buvaient	1	18	17	17.0
buvait	5	22	17	3.4
buvant	2	14	12	6.0
buvette	6	13	7	1.1666666666666667
buvettes	1	23	22	22.0
buveur	1	18	17	17.0
buveurs	2	13	11	5.5
buvez	4	13	9	2.25
buviez	1	9	8	8.0
buvons	10	23	13	1.3
buvonsle	1	16	15	15.0
bvue	1	44	43	43.0
by	25	41	16	0.64
c	3	3	0	0.0
cabale	1	11	10	10.0
cabane	6	13	7	1.1666666666666667
cabaret	18	33	15	0.8333333333333334
cabarets	5	36	31	6.2
cabinet	36	48	12	0.3333333333333333
cabinets	1	22	21	21.0
cabriole	1	7	6	6.0
cach	12	36	24	2.0
cacha	3	9	6	2.0
cachai	2	11	9	4.5
cachaient	1	15	14	14.0
cachait	6	14	8	1.3333333333333333
cachaitelle	1	5	4	4.0
cachant	1	26	25	25.0
cachatil	1	15	14	14.0
cache	17	30	13	0.7647058823529411
cacher	13	27	14	1.0769230769230769
caches	1	11	10	10.0
cachet	13	22	9	0.6923076923076923
cacheta	4	9	5	1.25
cachette	3	8	5	1.6666666666666667
cachez	2	15	13	6.5
cachons	1	8	7	7.0
cachot	11	35	24	2.1818181818181817
cachots	1	8	7	7.0
cadavre	11	24	13	1.1818181818181819
cadeau	3	14	11	3.6666666666666665
cadeaul	1	14	13	13.0
cadeaux	1	9	8	8.0
cadenass	1	12	11	11.0
cadenasse	1	9	8	8.0
cadet	10	26	16	1.6
cadets	2	10	8	4.0
cadres	1	14	13	13.0
cage	1	5	4	4.0
cagneuses	1	6	5	5.0
cahusac	16	27	11	0.6875
cailles	1	9	8	8.0
cailloux	4	20	16	4.0
caisse	1	29	28	28.0
caisses	1	9	8	8.0
cajolerie	1	4	3	3.0
calais	6	10	4	0.6666666666666666
calcul	2	9	7	3.5
calcula	3	21	18	6.0
calculate	1	13	12	12.0
calculated	1	11	10	10.0
calculons	1	23	22	22.0
calfeutrait	1	25	24	24.0
calibre	2	12	10	5.0
calma	1	26	25	25.0
calmait	1	9	8	8.0
calme	26	30	4	0.15384615384615385
